"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
1,240,0,114426.63,0.7268037301,1,2,88,1
1,240,35845.61,46273.86,0.7905232188,1,2,92,50
24.98,180,50679.5,70754.29,0,1,2,89,22
94,240,99776.07,103225.15,0,1,2,87,0
94,212,45917.25,48422,0,1,2,82,18
24.98,240,35355.49,47052,0.9629467056,1,2,82,29
16,240,55498.78,55696.54,0,1,2,77,1
9,240,0,66457.38,1,1,2,127,1
68,240,36856.39,32276.95,0,1,2,116,10
0,180,0,14735.69,0.8495063758,1,2,106,1
24.98,180,35786.36,43110.03,0,1,2,103,18
0,180,0,95089.13,0.5318404922,1,2,96,5
89,240,71560.74,70227.42,0,1,2,94,2
24.98,180,4636.53,8420.62,0.4391046365,1,3,100,41
71,240,65035.12,77111.94,0,1,2,77,11
24.98,240,90934.36,87496.65,0,1,2,80,3
13,240,60478.57,58813.52,0,1,2,88,9
38,120,0,6509.31,0,1,2,117,1
4,240,31932.56,32918.65,0,1,2,97,1
1,240,0,47728.57,1,1,2,131,4
24.98,240,79775.7,78916.36,0,1,2,80,1
22,240,21167.32,19689.68,0,1,2,135,6
24.98,240,31374.6,40023.75,0.7058362561,1,2,90,37
24.98,240,36814.47,51805.26,1,1,2,77,37
1,240,38129.31,40770.72,0.0647869353,1,2,126,6
24.98,180,22491.95,29815.55,0,1,2,79,13
1,219,34607.7,33921.56,0,1,2,129,2
24.98,240,32325.31,43317.23,0.6852952808,1,2,78,30
59,240,1668.04,2265.06,0.6968198762,4,3,114,25
1,240,0,13949.12,0.8477371061,1,2,112,0
1,240,73392.53,54203.32,0.9393099737,1,2,89,46
1,240,0,43997.99,0.7387080226,1,2,81,63
24.98,67,1324.57,1557.71,0.0401114765,1,3,87,4
24.98,120,31261.03,31821.11,0,1,2,81,1
24.98,240,20809.71,20722.8,0,1,2,97,0
24.98,120,1319.75,3978.77,0,1,3,104,11
24.98,180,66503.52,96980.91,0.2968152394,1,2,105,15
24.98,240,24080.59,22612.65,0,1,2,79,4
7,240,0,22672.79,1,1,2,136,0
0,180,0,19736.54,0.8430209029,1,2,113,30
70,240,59112.51,56400.45,0,1,2,104,8
24.98,180,14895.04,32138.08,0.5590349044,1,2,82,47
10,240,35239.36,38167.48,0,1,2,81,8
24.98,180,22948.81,25659.33,0.1056348704,1,2,81,2
24.98,240,21410.3,26948.39,0.0084781473,1,2,94,18
24.98,191,43424.08,51422.92,0,1,2,119,10
24.98,240,31119,40421,0.8228135382,1,2,82,41
44,180,0,56704.91,0.5275615667,1,2,105,4
